Hersteller,Name,Vorn/hinten,Lochzahl,DSL,D2L,D2R,AL,AR
SHIMANO,"NEXUS 7 GANG M: Rollerbrake, 130mm",h,36,2.5,87,87,31,23
SHIMANO,"NEXUS 7-Gang mit Rücktrittbremse, 128mm",h,36,2.5,87,87,30,25
SHIMANO,"Nexus N-70, 100 mm",v,36,2.8,74,74,28,28
SHIMANO,"NX 10,  Nabenddynamo (98`)",v,36,2.5,77,77,30,30
SHIMANO,NX-30- Nabendynamo (99`),v,36,2.5,79,79,31,30
SHIMANO,"NX-50, Nabendynamo m. Rollenbr.",v,36,2.5,80,80,23,31
SHIMANO,"RSX, 8-fach, 130mm",h,36,2.5,45,45,38,20
SHIMANO,"Rückbremsnabe CB-E110, 126 mm (spezial!)",h,36,2.5,48,48,36,38
SHIMANO,"RX 100 , 100mm",v,36,2.5,38,38,35,35
SHIMANO,"RX 100 , FH A - 550,  7- fach, 126mm",h,36,2.5,45,45,36,18
SHIMANO,SILENT CLUTCH   FH-RO50,h,36,2.5,45,45,35,24
SHIMANO,STX  FH-MC 30-CH Spezial Edition 7-fach,h,36,2.5,45,45,35,24
SHIMANO,"STX , HB - MC 30  - CH, Special edition",v,36,2.5,38,38,34,34
SHIMANO,"STX -. RC ,  FH - MC 33, 8- fach, 135 mm",h,36,2.5,45,45,36,19
SHIMANO,"STX, Silent Clutch, 135mm, 7-fach",h,36,2.5,45,45,35,24
SHIMANO,Ultegra (aus 9- fach Gruppe),v,32,2,38,38,35,35
SHIMANO,"Ultegra 9fach, 130 mm",h,32,2.5,45,45,34,19
SHIMANO,"XTR Hinterrad, 8-f., 135 mm",h,32,2.5,45,45,34,29
SHIMANO,"XTR, FH- M950, 135 mm",h,36,2.5,45,45,36,23
SHIMANO,"XTR, HB-M950, 100 mm",v,32,2.5,38,38,36,36
SHIMANO,"XTR- UG (alt), 126 mm",h,36,2.5,45,45,36,20
STURMEY ARCHER,"SAB 3 Trommelbremsnabe hinten, 3- Gang",h,36,2.9,84,65,38,28
STURMEY ARCHER,SPRINTER COASTER 5Gang Rücktritt,h,36,2.5,65,65,29,28
STURMEY ARCHER,STEELITE TROMMELBREMSNABE VORN,v,36,4,83,83,26,30
STURMEY ARCHER,"Steellite, 100 mm, 90 mm Durchmesser",v,36,2.5,99,49,30,32
STURMEY ARCHER,"TB Elite, Alu, hinten",h,36,2.5,90,90,41,18
SUNTOUR,"Diabolo, Schraubkranz",h,36,2.5,44,44,24,42
SUNTOUR,EDGE  FRONT HUB,v,36,2.5,35,35,34,34
SUNTOUR,"ID, 100 mjm",v,36,2.5,38,38,33,33
SUNTOUR,XC pro,h,36,2.5,45,45,34,20
SUNTOUR,"XC Pro, 100 mm",v,36,2.5,38,38,33,33
surly,HR singlespeed schraub disc,h,32,2.5,58,58,33,38
surly,HR- surley- schraubkranz,h,32,2.5,54,54,39,39
surly,VR- surley,v,32,2.5,54,54,33,33
TUNE,"Kong, 131 mm, 8/9-fach",h,36,2.5,41,54,36,21
WHITE INDUSTRIES,"Scheibenbremsnabe HF, Mag., 100 mm",v,36,2.5,74,74,26,34
WHITE INDUSTRIES,"Scheibenbremsnabe NF, Mag., 135 mm",h,36,2.5,67,67,36,23
